Index,Tile Size,Loop Order,User Time (s),System Time (s),Real Time (s)
270,256,j_tji_tk_tki,0.8059649999999999,0.14781,0.95574951171875
271,8,j_tjk_ti_tik,0.265797,0.136895,0.4034886360168457
272,16,j_tjk_ti_tik,0.31210899999999997,0.133046,0.4454638957977295
273,32,j_tjk_ti_tik,0.37499899999999997,0.122999,0.4982032775878906
274,64,j_tjk_ti_tik,0.39133199999999996,0.13411299999999998,0.5255694389343262
275,128,j_tjk_ti_tik,0.42727099999999996,0.12878,0.55619215965271
276,256,j_tjk_ti_tik,0.356139,0.14066,0.49835681915283203
277,8,j_tjk_ti_tki,0.322028,0.136012,0.4582397937774658
278,16,j_tjk_ti_tki,0.530048,0.130011,0.6603047847747803
279,32,j_tjk_ti_tki,0.600762,0.128948,0.7304825782775879
280,64,j_tjk_ti_tki,0.766018,0.125002,0.891249418258667
281,128,j_tjk_ti_tki,0.844503,0.130077,0.9747772216796875
282,256,j_tjk_ti_tki,0.961746,0.132965,1.0948853492736816
283,8,j_tjk_tki_ti,1.019854,0.142979,1.1631007194519043
284,16,j_tjk_tki_ti,1.016398,0.134052,1.150644063949585
285,32,j_tjk_tki_ti,0.9738789999999999,0.135983,1.1101500988006592
286,64,j_tjk_tki_ti,1.128261,0.142032,1.2727909088134766
287,128,j_tjk_tki_ti,0.9508329999999999,0.136976,1.0879840850830078
288,256,j_tjk_tki_ti,0.966422,0.13405799999999998,1.1006577014923096
289,8,j_tk_ti_tijk,0.36569599999999997,0.135516,0.5029418468475342
290,16,j_tk_ti_tijk,0.407715,0.136239,0.5442461967468262
291,32,j_tk_ti_tijk,0.486016,0.140004,0.626291036605835
292,64,j_tk_ti_tijk,0.477356,0.138812,0.6164360046386719
293,128,j_tk_ti_tijk,0.443246,0.124069,0.5677986145019531
294,256,j_tk_ti_tijk,0.35870399999999997,0.13388899999999998,0.4931356906890869
295,8,j_tk_ti_tikj,0.33879899999999996,0.13292099999999998,0.47193384170532227
296,16,j_tk_ti_tikj,0.395526,0.135522,0.5330870151519775
297,32,j_tk_ti_tikj,0.418255,0.13808399999999998,0.5571603775024414
298,64,j_tk_ti_tikj,0.46873699999999996,0.139921,0.6088845729827881
299,128,j_tk_ti_tikj,0.492556,0.131881,0.6252079010009766
300,256,j_tk_ti_tikj,0.5581769999999999,0.124039,0.6823792457580566
301,8,j_tk_ti_tjik,0.28023,0.13711199999999998,0.4174983501434326
302,16,j_tk_ti_tjik,0.39022199999999996,0.13907899999999998,0.5295059680938721
303,32,j_tk_ti_tjik,0.509911,0.13497599999999998,0.6451373100280762
304,64,j_tk_ti_tjik,0.506494,0.130127,0.6367926597595215
305,128,j_tk_ti_tjik,0.47751,0.12986599999999998,0.6075482368469238
306,256,j_tk_ti_tjik,0.395815,0.130938,0.5268807411193848
307,8,j_tk_ti_tjki,0.313193,0.13608399999999998,0.44977879524230957
308,16,j_tk_ti_tjki,0.544405,0.134099,0.6788418292999268
309,32,j_tk_ti_tjki,0.646469,0.12709199999999998,0.7737815380096436
310,64,j_tk_ti_tjki,0.856601,0.135936,0.9927663803100586
311,128,j_tk_ti_tjki,0.826666,0.13994299999999998,0.9668500423431396
312,256,j_tk_ti_tjki,0.9402189999999999,0.13603099999999999,1.0764167308807373
313,8,j_tk_ti_tkij,0.5003139999999999,0.14052599999999998,0.6431715488433838
314,16,j_tk_ti_tkij,0.5213789999999999,0.12809299999999998,0.6499733924865723
315,32,j_tk_ti_tkij,0.7880349999999999,0.13400499999999999,0.9222812652587891
316,64,j_tk_ti_tkij,0.8555659999999999,0.13308799999999998,0.9891345500946045
317,128,j_tk_ti_tkij,1.636349,0.13394599999999998,1.7704648971557617
318,256,j_tk_ti_tkij,2.29011,0.140006,2.430424213409424
319,8,j_tk_ti_tkji,0.509309,0.137813,0.6474401950836182
320,16,j_tk_ti_tkji,0.52545,0.14012,0.6657898426055908
321,32,j_tk_ti_tkji,0.8178099999999999,0.134968,0.9529223442077637
322,64,j_tk_ti_tkji,0.891582,0.135936,1.0277535915374756
323,128,j_tk_ti_tkji,2.535387,0.14796399999999998,2.685124397277832
324,256,j_tk_ti_tkji,2.961653,0.135984,3.0979111194610596
325,8,j_tk_tji_tik,0.35317299999999996,0.122059,0.4755263328552246
326,16,j_tk_tji_tik,0.42657,0.13518,0.5619888305664062
327,32,j_tk_tji_tik,0.6221289999999999,0.14979,0.7747297286987305
328,64,j_tk_tji_tik,0.572147,0.140036,0.7124578952789307
329,128,j_tk_tji_tik,0.478946,0.137984,0.6171820163726807
330,256,j_tk_tji_tik,0.39560999999999996,0.129872,0.5257015228271484
331,8,j_tk_tji_tki,0.390348,0.134119,0.524735689163208
332,16,j_tk_tji_tki,0.509153,0.13404,0.6435737609863281
333,32,j_tk_tji_tki,0.877425,0.142068,1.0198116302490234
334,64,j_tk_tji_tki,0.7326199999999999,0.139927,0.8727712631225586
335,128,j_tk_tji_tki,0.799337,0.13505699999999998,0.9345963001251221
336,256,j_tk_tji_tki,1.183422,0.136933,1.3205134868621826
